DOI,Title,Creators
10.5281/zenodo.1320164,Kglove Dbpedia Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.5913170,GeNeG: German News Knowledge Graph,Andreea Iana; Alexander Grote; Kaharina Ludwig; Mehwish Alam; Philipp Müller; Christof Weinhardt; Harald Sack; Heiko Paulheim
10.5281/zenodo.3553424,CaLiGraph - A large-scale semantic knowledge graph compiled from Wikipedia Categories and Listpages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.8208245,Data Set: Promoting Open Science in Test-Driven Software Experiments,Marcus Kessel; Colin Atkinson
10.5281/zenodo.1320027,Kglove Dbpedia Inverse Object Split Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320017,Kglove Dbpedia Inverse Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paolo Ponzetto; Heiko Paulheim
10.5281/zenodo.3484511,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.6842197,Replication package for: How the Other Half Died: Immigration and Mortality in US Cities,Philipp Ager; James Feigenbaum; Casper Worm Hansen; Hui Ren Tan
10.5281/zenodo.1320001,RDF2Vec DBpedia inverse object frequency embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.7962777,CaLiGraph - A Large-Scale Semantic Knowledge Graph compiled from Wikipedia Categories and List Pages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.1320149,Kglove Dbpedia Predicate Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.3531971,CaLiGraph - A large-scale semantic knowledge graph compiled from Wikipedia Categories and Listpages,Nicolas Heist; Heiko Paulheim
10.5281/zenodo.8208246,Data Set: Promoting Open Science in Test-Driven Software Experiments,Marcus Kessel; Colin Atkinson
10.5281/zenodo.1320030,Kglove Dbpedia Inverse Page Rank Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320158,Kglove Dbpedia Inverse Predicate Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.6854189,Post-hypnotic suggestion improves confidence and speed of memory access with long-lasting effects,Barbara Schmidt; Justin Böhmer; Martin Schnürch; Sebastian Michelmann; Tobias Koch
10.5281/zenodo.6842196,Replication package for: How the Other Half Died: Immigration and Mortality in US Cities,Philipp Ager; James Feigenbaum; Casper Worm Hansen; Hui Ren Tan; Danielle T. Williamson
10.5281/zenodo.1320029,Kglove Dbpedia Inverse Page Rank Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.7776092,The patccat classifier for patent claims - EPO edition,Bernhard Ganglmair; W. Keith Robinson; Michael Seeligson
10.5281/zenodo.3482774,Uncovering the Semantics of Wikipedia Categories - Axioms and Assertions,Nicolas Heist; Heiko Paulheim
